epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26623.9,1.31122,2.24015,1.74008,0.47176,0.05339,0.05905,0.01966,2.59377,4.53625,3.00559,0.000212094,0.000212094,0.000212094
43,27212.7,1.31728,2.22518,1.75522,0.68944,0.05206,0.07168,0.02377,2.5602,4.34689,3.02957,0.000208559,0.000208559,0.000208559
44,27972.2,1.30953,2.25948,1.735,0.63769,0.05174,0.06007,0.0189,2.45212,4.53194,3.07098,0.000205025,0.000205025,0.000205025
45,28685.8,1.27736,2.18852,1.71528,0.26496,0.06051,0.05852,0.01745,2.48789,4.41676,3.06641,0.000201491,0.000201491,0.000201491
46,29459.5,1.30614,2.18451,1.73034,0.49903,0.06097,0.06873,0.02166,2.43163,4.3516,3.01268,0.000197957,0.000197957,0.000197957
47,30331.7,1.28159,2.17262,1.70553,0.3772,0.07584,0.06382,0.02206,2.57761,4.33046,3.09882,0.000194422,0.000194422,0.000194422
48,31122.8,1.27578,2.12634,1.70835,0.78057,0.0432,0.0629,0.02312,2.48001,4.42408,3.13629,0.000190888,0.000190888,0.000190888
49,31812.2,1.29686,2.15763,1.71804,0.44344,0.0807,0.06456,0.02099,2.51405,4.47047,3.11856,0.000187354,0.000187354,0.000187354
50,32556.4,1.27464,2.10438,1.70293,0.4195,0.06467,0.05168,0.01868,2.56531,4.37086,3.18851,0.000183819,0.000183819,0.000183819
51,33312.9,1.24763,2.0354,1.68573,0.27999,0.08789,0.05795,0.01816,2.43286,4.45119,3.07178,0.000180285,0.000180285,0.000180285
52,33940.9,1.25074,2.061,1.68236,0.67364,0.05053,0.06186,0.02071,2.47579,4.51718,3.11635,0.000176751,0.000176751,0.000176751
53,34773.9,1.21959,2.01819,1.66531,0.33012,0.06483,0.07042,0.02348,2.46752,4.64473,3.00489,0.000173216,0.000173216,0.000173216
54,35298.7,1.23506,1.99511,1.67964,0.4629,0.06037,0.06331,0.02136,2.54408,4.43886,3.12438,0.000169682,0.000169682,0.000169682
55,35759.8,1.23647,2.04274,1.67084,0.28765,0.07806,0.06503,0.02214,2.52438,4.43659,3.11576,0.000166148,0.000166148,0.000166148
56,36223.8,1.25654,2.02676,1.68327,0.2803,0.06091,0.06005,0.02057,2.61634,4.47819,3.20708,0.000162613,0.000162613,0.000162613
57,36687.2,1.23707,1.96757,1.6629,0.48474,0.05082,0.05558,0.0186,2.64652,4.48766,3.24933,0.000159079,0.000159079,0.000159079
58,37150.5,1.22559,1.99652,1.65448,0.2966,0.06628,0.07381,0.0235,2.58684,4.36709,3.23753,0.000155545,0.000155545,0.000155545
59,37612.6,1.22283,1.96521,1.66833,0.29213,0.07016,0.06161,0.02208,2.57371,4.51421,3.21939,0.000152011,0.000152011,0.000152011
60,38073.7,1.19828,1.93961,1.64422,0.42936,0.05465,0.06217,0.01909,2.60115,4.43348,3.19107,0.000148476,0.000148476,0.000148476
61,38534.2,1.2194,1.97794,1.66025,0.28385,0.0874,0.06725,0.02324,2.64253,4.42255,3.3293,0.000144942,0.000144942,0.000144942
62,38994.1,1.19428,1.94023,1.6242,0.22878,0.07927,0.05611,0.02307,2.61031,4.52883,3.23177,0.000141408,0.000141408,0.000141408
63,39455.9,1.19563,1.90495,1.62854,0.38581,0.065,0.05331,0.0192,2.55856,4.50751,3.14727,0.000137873,0.000137873,0.000137873
64,39916.1,1.19298,1.92541,1.64848,0.65549,0.04885,0.06145,0.02115,2.58894,4.43554,3.24885,0.000134339,0.000134339,0.000134339
65,40381.6,1.20255,1.91645,1.64007,0.4601,0.04013,0.04689,0.01787,2.61743,4.51759,3.20591,0.000130805,0.000130805,0.000130805
66,40843.6,1.14774,1.86119,1.60405,0.23775,0.07626,0.05251,0.01799,2.578,4.49875,3.20143,0.000127271,0.000127271,0.000127271
67,41302.3,1.15968,1.87041,1.60787,0.33418,0.0625,0.05304,0.01733,2.65816,4.46106,3.30151,0.000123736,0.000123736,0.000123736
68,41750.1,1.16044,1.86221,1.60896,0.39608,0.05952,0.055,0.01907,2.6186,4.49749,3.28135,0.000120202,0.000120202,0.000120202
69,42207.2,1.18836,1.81123,1.65607,0.26774,0.0698,0.05657,0.02046,2.65236,4.41679,3.36617,0.000116668,0.000116668,0.000116668
70,42663.3,1.15165,1.81273,1.59982,0.36447,0.05666,0.05781,0.01893,2.63651,4.49852,3.36809,0.000113133,0.000113133,0.000113133
71,43122.2,1.13384,1.8081,1.58448,0.44052,0.05711,0.05654,0.0195,2.65175,4.50706,3.35339,0.000109599,0.000109599,0.000109599
72,43576.4,1.1548,1.78432,1.60629,0.23088,0.07341,0.0543,0.01932,2.61626,4.51232,3.32324,0.000106065,0.000106065,0.000106065
73,44033.8,1.14198,1.80185,1.59932,0.58308,0.04824,0.05422,0.02071,2.67421,4.41129,3.42139,0.00010253,0.00010253,0.00010253
74,44491.1,1.11112,1.78237,1.57671,0.38763,0.06277,0.05559,0.01963,2.66402,4.43499,3.32839,9.89961e-05,9.89961e-05,9.89961e-05
75,44960.2,1.12165,1.75236,1.58364,0.33452,0.06418,0.0579,0.02044,2.6807,4.38006,3.361,9.54618e-05,9.54618e-05,9.54618e-05
76,45420.7,1.13427,1.72659,1.5758,0.60028,0.05576,0.06205,0.01933,2.7022,4.46976,3.40847,9.19275e-05,9.19275e-05,9.19275e-05
77,45934.9,1.10036,1.69228,1.55676,0.40073,0.05863,0.05239,0.01782,2.639,4.4276,3.29728,8.83932e-05,8.83932e-05,8.83932e-05
78,46461.3,1.09597,1.67796,1.5556,0.51817,0.05445,0.05198,0.01665,2.6466,4.55662,3.35714,8.48589e-05,8.48589e-05,8.48589e-05
